,reviews,stars
21,"Me encanta Yapo y lo ocupo a diario, pero a nivel de Aplicación le falta harto para lograr ser más amigable.",Calificación: 3 de cinco estrellas
22,"Se. Demora en cargar las imágenes que uno sube, incluso se queda pegado y no deja subir facilmente",Calificación: 3 de cinco estrellas
23,Excelente portal informativo y de ofertas...,Calificación: 5 de cinco estrellas
24,"Pésimo! 1 estrella y mi motivo es porque yo tenia la app pero no la había actualizado, me contactaba para encontrar trabajo a muchos avisos y enviaba msj ya q teléfono no me aparecia y que sorpresa! Mis msj no llegaban a ninguna postulacion perdí semanas intentando contactar pero como no la había actualizado ellos no envían mis msj... Minimo avisar... Minimo!!",Calificación: 1 de cinco estrellas
25,"Excelente app,lo que si deberían mejorar la calidad de las fotografías de los productos ya que se pierde mucha definición al subir fotos",Calificación: 3 de cinco estrellas
26,"Funciona bien ,pero su opción de chat funciona de forma errática",Calificación: 4 de cinco estrellas
27,Si la pagina me aservido bastante siempre la miro por travajo o otra cosa es bastante util . excelente.,Calificación: 5 de cinco estrellas
28,"Sencilla y efectiva. Yapo hace fácil la venta, sin complicaciones, funciona.",Calificación: 5 de cinco estrellas
29,"Aplicación muy limitada, y modelo de negocios para publicar obsoleto",Calificación: 1 de cinco estrellas
30,Muy buena experiencia de compra.venta,Calificación: 5 de cinco estrellas
31,Buena aplicación para comprar cosas de segunda mano es ideal y súper fácil de usar,Calificación: 5 de cinco estrellas
32,Es muy buena pero no me gusta solamente x que no tengo face x eso no se puede publicar mis cosas pero deveria servir para las personas sin cuenta de face o con solo correo,Calificación: 3 de cinco estrellas
33,Muy buena. Muy amigable por el celu. Pero no asi desde el compu.,Calificación: 5 de cinco estrellas
34,Buena App. Pero se presta para Muchas estafas . Lo digo por experiencia propia ... saludos,Calificación: 3 de cinco estrellas
35,Solo falta poder sacar el teléfono del aviso después de creado el aviso.,Calificación: 4 de cinco estrellas
36,"Buena app pero deverian agregar una categoría de pesca, caza y outdoors.",Calificación: 4 de cinco estrellas
37,La actualización Tiene un error en la configuración de la región en la cual quiero buscar el producto.,Calificación: 1 de cinco estrellas
38,Muy buena aplicación rápida y sencilla daria mucho más.pero Las 5estrellas Las tienes,Calificación: 5 de cinco estrellas
39,"Si es bastante buena, ya q e publicado artos avisos y se vende luego lo q publico... Muchas gracias excelente esperiencia🤣🤣",Calificación: 4 de cinco estrellas
40,"Busco algo para comprar y se repite el buscador de ventas. Me explico, busco y sale que yo vendo, y solo quiero buscar para comprar malisima aplicación. 🥧😠",Calificación: 1 de cinco estrellas
41,"Muy buena, si bien no he vendido todo lo que he publicado, pero lo que he logrado vender a sido rápido gracias a la publicación realizada en yapo",Calificación: 5 de cinco estrellas
42,Buenas ventas ...y variedad de articulos.,Calificación: 5 de cinco estrellas
43,"Soy Roberto de Temuco y sólo les pediría que actualicen a diario o cada 5 días siquiera, pirque hay aviso que ya no deberían estar ahí, gracias 👍",Calificación: 4 de cinco estrellas
44,"Horrible!.. rechazan las publicaciones sin justificación, cuando consultas no responden, te cobran altísimo por poner en venta una propiedad y exigen papeles que en otras plataformas no.",Calificación: 1 de cinco estrellas
45,"Ingresé por error con una cuenta de facebook , necesito cambiarla pero no encuentro ningún botón Cerrar Sesión...... Cueck",Calificación: 2 de cinco estrellas
46,Escelente aplicación me a ido bien con cualquier venta que hago!! Gracias yapooo,Calificación: 5 de cinco estrellas
47,Funciona perfectamente faltan algunas mejoras pero bueno esta bien,Calificación: 3 de cinco estrellas
48,Muy facil y sencilla. Excelente yapo. Y gracias por su buen servicio,Calificación: 5 de cinco estrellas
49,"Muy malo el buscador, prácticamente tienes que ser mago para dar con lo que buscas si no escribes en la búsqueda prácticamente lo mismo y le apuntas al título del vendedor o a lo que sea que busques, el logaritmo de busqueda de Google es súper básico, apliquen lo...",Calificación: 2 de cinco estrellas
50,Solo se ve los anuncios sin imagenes,Calificación: 1 de cinco estrellas
51,Te baja los anuncios constantemente,Calificación: 1 de cinco estrellas
52,Pesima actuliazacion. Ojala lo solucionen luego los errores con los que quedo,Calificación: 1 de cinco estrellas
53,"Es buena aplicación, pero en las ventas de autos se debería poder reportar a los que venden en remates ya que publican muchas veces el mismo vehículo quitándole la posibilidad de vender a una persona natural, un botón de reportar también ayudaria a corregir a ventas fraudulentas.",Calificación: 2 de cinco estrellas
54,Fácil y rápido. Un éxito la venta,Calificación: 5 de cinco estrellas
55,Excelente para ventas y compras por la apps,Calificación: 5 de cinco estrellas
56,En categorías debieran poner PERMUTAR creo qué sería una muy buena idea .... aveces en las casas se juntan cosas que al final uno no ocupa y están en perfecto estado y necesitas otras . Sobre todo en los momentos qué vivimos . Ojalá lo hagan,Calificación: 5 de cinco estrellas
57,"Hola Buenas Tardes Su aplicación era bastante buena, pero desde finales del año pasado al buscar ""x cosa"" te muestra resultados que no corresponden a lo buscado. Es por esto les sugiero revisar dicha situación para que no pierdan el lugar ganado dentro del mercado. Pamela",Calificación: 2 de cinco estrellas
58,"La aplicación en general buena, según el dispositivo es más estable o no. Pero lamentablemente mucho estafador, perdí un iPhone siendo víctima de estafa y robo. La empresa no responde ante estas situaciones y tampoco dan seguridad de que sus usuarios sean quienes dicen ser. Falta mucha seguridad para los usuarios. Que somos nosotros los que nos volvemos afectados mientras la empresa se beneficia por un servicio incompleto y para nada seguro.",Calificación: 5 de cinco estrellas
59,"Vendo muy rápido mis cosas, excelente aplicación",Calificación: 5 de cinco estrellas
60,Buena muestra los artículos que uno busca,Calificación: 5 de cinco estrellas
61,"La app trae mucha variedad en cuanto a productos de todo tipo pero deberían de mejorar el buscador ya que casi siempre dice que no hay lo que busco cuando si están, la verdad es pésimo el buscador.",Calificación: 2 de cinco estrellas
62,"Buena app, como sugerencia, deberían poder incorporar iniciar varias sesiones en la misma app como el sistema de correos electrónicos. Yo tengo ventas de diferentes cosas y me gusta separarlas por mis correos y no puedo tener varias abiertas",Calificación: 4 de cinco estrellas
63,"Se a puesto malísima, la plataforma es muy complicada aveces terminas de hacer tu publicación y tienen la opcion de limpiar todo en donde la mayoría de la aplicación tienen publicar. Bueno Facebook es mucho mejor",Calificación: 1 de cinco estrellas
64,"Buena. Pero se puede mejorar, falta un multi selector de region Soy de talca y vivo en Santiago, por lo cual quiero ver la oferta de las dos regiones en un solo filtro",Calificación: 5 de cinco estrellas
65,"Funciona, pero aún tiene muchos problemas.",Calificación: 3 de cinco estrellas
66,"A rasgos generelas es muy util el problema llega cuando quieres el resto de funciones que ko sea buscar algo. Los mensajes no te los notifica de la aplicación, solo te llega un correo que podria ser solo ina notificación, ademas es directamente imposible mandar un a imagen o cualquier archivo siempre sale error y no se envia. Los guardados no se sicronizan por cuenta si no que por dispositivo. Es decir si guardo algo en el computador con la misma cuenta no se vera en el teléfono y viceversa.",Calificación: 3 de cinco estrellas
67,Todo bien vendiendo pero comprando mas o menos x confiado,Calificación: 5 de cinco estrellas
68,"Hola desde hace unos días la aplicación está operando con un error. Al desplegar una lista de busqueda guardada y clickear un aviso, el que se abre es el aviso siguiente. Cuando el aviso que quieres clikear está justo bajo un aviso publicitario no hay manera de llegar a él... Desde la busqueda de inicio, osea sin filtros ni busquedas guardadas, la aplicacion me funciona perfecto. Espero lo puedan resolver Saludos",Calificación: 4 de cinco estrellas
69,"lo unico que creo que falta es poder ver mas cosas del perfil del vendedor / comprador, asi como poder clasificarlos por calidad",Calificación: 5 de cinco estrellas
70,"Excelente aplicación me ha servido en varias oportunidades por lo que estoy agradecido, siempre se renuevan y tienen una app de facil uso 5 estrellas para ustedes.",Calificación: 5 de cinco estrellas
71,No puedes suber bien tu avido no encuentra cosas que buscas y esta todo mesclado no esta por secciones,Calificación: 1 de cinco estrellas
72,"Buena App. Si Seria bueno que las preguntas sean publicas para que asi le sirvan a otros compradores como referencia. Lo otro, poder pinchar el numero del vendedor y lo pase automáticamente a su wsp, asi no hay que grabarlo en el Teléfono y sea menos engorroso.",Calificación: 4 de cinco estrellas
73,"Hola, la aplicación impecable pero desde hace un tiempo la función de ordenar por precio no funciona, pongo ordenar por precio o con un rango de precio pero sale todo desordenado y con valores mas altos que del seleccionado. Gracias.",Calificación: 5 de cinco estrellas
74,"Buena app,por lo facil de utilizar y contiene lo necesario para gestionar los avisos.",Calificación: 5 de cinco estrellas
75,"Esta muy buena la aplicación pero llega a muy pocas personas si no pagas para que llegue a más, además de que no te llega a notificar directamente la aplicación de que tienes un mensaje y tienes que entrar cada cierto tiempo a revisar, pero es súper intuitivo vender y comprar 9/10",Calificación: 4 de cinco estrellas
76,Bueno la app después de sus últimas actualizaciones en 2019 ahora a mejorado solo podría agregar que sería fantástico que tuviera un buscador por voz creo que con eso podría ganase 4 o hasta 5 estrellas obviamente en el caso que también estuviese más ligera la app y podrían darle un cambio de imagen,Calificación: 3 de cinco estrellas
77,"Todo el tiempo intentó actualizar mi cuenta, para poder publicar avisos. Y cuando lo intentó me sale por favor inténtelo más tarde, lo he intentado por varios días pero nada. Por favor arreglen eso. Pero en lo general es una buena app.",Calificación: 3 de cinco estrellas
78,Para mi es muy buena esta aplicación porque puedo ver coasa bien buenas que a uno le pueden interesar para comprar además se detalla identificación de quien vende el lugar ciudad o sectores de la ciudad en donde se venden o que le puedan interesar a las personas le doy 5 estrellas,Calificación: 5 de cinco estrellas
79,Buena aplicación rápida para compra y venta lo malo es q falta mas detalle sobre quien ve los avisos. Lo otro q ahí q pagar por premium entonces si no pagas no se publica eso no entiendo,Calificación: 3 de cinco estrellas
80,"alta aplicación che bldo, rre izi las ventas para los pibes, ndeah",Calificación: 5 de cinco estrellas
81,"Se vende bien y bastante rápido y también se pueden comprar cosas a buenos precios, mucho mejor que Mercadolibre. Deben mejorar el programa y aumentar los filtros y clasificaciones porque las actuales son demasiado básicas.",Calificación: 4 de cinco estrellas
82,Funciona...siempre y cuando canceles los avisos......cada aviso que pongo lo debo cancelar para recibir visitas...de lo contrario no lo ve nadie,Calificación: 2 de cinco estrellas
83,Excelente y en Chile las personas lo usan mucho,Calificación: 5 de cinco estrellas
84,"Muy buena la aplicación para vender de todo, llega a cualquier persona que tenga la necesidad de vender o comprar desde un vehículo hasta un terreno. Deberían obligar a los publicadores a subir una imagen de lo que están vendiendo.",Calificación: 4 de cinco estrellas
85,Muy bueno aunque deberían sacar las cosas si ya están vendidas. A parte de eso esta muy bueno. Espero que cambien todo eso. Gracias,Calificación: 4 de cinco estrellas
86,"Es una buena oportunidad para vender algunas cosa que no usamos puede reutilizar con valore mas económico... Lamentablemente,mi table no es compatible con esta nueva app,eso me desepciono.",Calificación: 2 de cinco estrellas
87,"Funcional, pero debería tener la opción de ver qué más productos tiene publicado el mismo vendedor, si quiero comprar más de una cosa no tendría que juntarme con dos personas en el caso que las tenga (por seguridad)",Calificación: 3 de cinco estrellas
88,Muy buena aplicacion me gusta mas esta forma de vender que es encongrandose con la persona y el pago en efectivo para asi prevenir ventas falsas yo ya estoy vendiendo ya que es muy facil ahora lo unico que me falta es que alguien me compre :(,Calificación: 4 de cinco estrellas
89,"La funcionalidad es buena, el algoritmo que revisa los contenidos es malo, te rechaza avisos o modificaciones sin motivos válidos y debes estar pidiendo ayuda en atención de clientes en cada aviso, esto me ha pasado decenas de veces.",Calificación: 3 de cinco estrellas
90,"Es muy buena app encuentras muchas cosas es rápida, pero se demoran mucho en realizar la revisión de los artículos que uno quiere vender por eso solamente no le doy 5 estrellas",Calificación: 4 de cinco estrellas
91,"Excelente, como siempre para vender o comprar 🛒",Calificación: 5 de cinco estrellas
92,"Muy buena APP , Solo me gustaria que la gente que compra tambien deje sus datos porque intentaron estafarme con un deposito con cheque robado y es muy incomodo tener que ir citado a la PDI y solo tener un telefono del estafador.",Calificación: 5 de cinco estrellas
93,"Deveria haver más opciones por categorías, deportivos, autos clásicos, camionetas, etc. Pero no todo juntos, igual camiones por cilindradas no todos juntos,.",Calificación: 4 de cinco estrellas
94,Es muy práctico y encuentras de todo a los precios más justos con opción a variar si haces una buena oferta. Y sus filtros ayudan a encontrar rápidamente lo que estas buscando o necesitando.,Calificación: 5 de cinco estrellas
95,Una de las mejores app muy confiable para comprar y vender de todos los artículos que puedas tener,Calificación: 5 de cinco estrellas
96,"Se pudrió... Alguien sabe de otra aplicación de ventas, por favor, muchas gracias.",Calificación: 1 de cinco estrellas
97,"Desde que conozco yapo, siempre la he usado para vender o buscar diversas cosas, ahora que es por medio de la aplicacion, es mas facil y rapido, muchas gracias.",Calificación: 5 de cinco estrellas
98,"Buena, en general, solo que no hay filtro para gente maliciosa y estafadores",Calificación: 3 de cinco estrellas
99,"La aplicación era excelente en un principio, pero actualmente colocaron muchas restricciones. Lo que hace muy complicado actualmente realizar publicaciones .",Calificación: 1 de cinco estrellas
100,"Es buena la app ,pero podria mejorar quizas los colores y la forma, ser un poco mas amigable, pero funciona y es practica eso ahi que destacar.",Calificación: 3 de cinco estrellas
101,Para agregarle la 5ta estrella creo que debería haber una mejora simple. ¿Cual sería? Que si un vendedor tiene más de 1 publicación poder acceder a todas las publicaciones del vendedor desde el mismo aviso o venta que uno visita.,Calificación: 4 de cinco estrellas
102,Es buena rápida y práctica pero deveria poder ver los anuncios activo si reviso uno en particular,Calificación: 4 de cinco estrellas
103,"Un poco compleja, las búsquedas son difíciles pero de resto muy buena App",Calificación: 4 de cinco estrellas
104,"Rápido y censillo, buenos resultados",Calificación: 5 de cinco estrellas
105,Muy buena aplicación para conseguir artículos que tal vez no nos acordamos que necesitamos y los vemos aquí publicados. Siempre le hecho un ojo antes de dormir!!,Calificación: 5 de cinco estrellas
106,"Buena experiencia vendiendo, mejor que por otros sitios, ya que es más fácil contactarse. Gracias a esta app he logrado concretar varias compras 👍🏻",Calificación: 5 de cinco estrellas
107,"activo , agil , sin burocracia , exelente . Un servicio sin costo y muy rápidos resultados .",Calificación: 5 de cinco estrellas
108,La verdad la app es una basura por qué nunca cargan las imágenes cuando uno quiere vender osea por favor arreglen eso ya que no arreglan,Calificación: 1 de cinco estrellas
109,"Falta por mejorar, en mi opinión considero que hace falta que las publicaciones aparezcan con hora incluida, en mi caso sería de mucha utilidad. Lo demás todo bien",Calificación: 4 de cinco estrellas
110,Las palabras clave para buscar un articulo no funcionan. Quizas sea que tengo mal configurado el filtro.,Calificación: 2 de cinco estrellas
111,"Debe mejorar, por ejemplo cuando uno se mete a un perfil dice que tiene publicaciones pero no las muestra ojalá debería verse.",Calificación: 3 de cinco estrellas
112,"Excelente aplicación para vender, solo se debe tener la precaución de no ser estafado, pero vale la pena utilizarla.",Calificación: 5 de cinco estrellas
113,Muy útil y práctica,Calificación: 5 de cinco estrellas
114,Llevo días intentando publicar un aviso y nada lo intento una y otra vez y nunca aparece el aviso ...basura de aplicación al parecer solo quieren que la gente le meta dinero para publicar un aviso mejor lo hago por facebook,Calificación: 1 de cinco estrellas
115,"Muy buena app, he vendido desde un reloj a un auto y todo super seguro y confiable. Obviamente hay que saber con quien tratar. Full recomendada.",Calificación: 5 de cinco estrellas
116,"Excelente aplicación. Buscas y encuentras lo que necesitas, y es práctica para todo.",Calificación: 5 de cinco estrellas
117,Muy util. Siempre se puede mejorar. Una mejora seria poder ver mis preferencias de categorías al entrar a mi cuenta. Sin la necesidad de filtrar por cada una. Saludos,Calificación: 4 de cinco estrellas
118,"Cuando guardas una búsqueda como favorito, no logras seleccionar el items que deseas, se marca siempre el index + 1... Sigue el problema de la búsqueda favorita",Calificación: 2 de cinco estrellas
119,"Excelente y practica opción de compra ,mucho mejor que mercado libre , porque uno no tiene que pagar antes de ver el producto",Calificación: 5 de cinco estrellas
120,La app es buena. Pero despues de un momento se queda en negro la pantalla y se cierra. En especial cuando realizo busquedas.,Calificación: 4 de cinco estrellas
121,"App muy util para vender y comprar cosas, muy recomendable. Rapida, sin publicidad.",Calificación: 5 de cinco estrellas
122,Excelente. Sólo les pido que las sugerencias de autocuidado contra fraudes se ubiquen al inicio de la pagina o en el inicio de la aplicación. La posibilidad de calificar a los compradores sería importante.,Calificación: 4 de cinco estrellas
123,He tenido buenas experiencias en Yapo. Ahora probaré la App. Gracias por su aporte y ayudarnos a simplificar gestiones de compra y venta.,Calificación: 5 de cinco estrellas
124,"EDITADO: Ahora funciona bien, gracias!! Con la actualización no cargan las imágenes de la vista previa de ningún aviso, espero que lo solucionen pronto Saludos!!",Calificación: 5 de cinco estrellas
125,"Muy buena la app, muy útil para comprar y publicar ventas y servicios. Me gusta...",Calificación: 5 de cinco estrellas
126,"Muy buena aplicación, es una excelente opción para vender y comprar.",Calificación: 5 de cinco estrellas
127,Creo que a la app le falta ser más intuitiva con los mensajes y la búsqueda. Funciona bien pero le falta algo,Calificación: 3 de cinco estrellas
128,"Lo encuentro genial, lo unico que siempre debería haber numero de contacto.",Calificación: 4 de cinco estrellas
129,"Era buena, ahora pide administrar los avisos desde un computador, además al eliminar un aviso se demora 7 días y mas en ser borrado, No recomiendo la aplicación.",Calificación: 1 de cinco estrellas
130,Muy buena la aplicación para buscar y comprar lo k nesecita. Yo personalmente siempre la uso y no e tenido problema cada vez k nesecita comprar,Calificación: 4 de cinco estrellas
131,"Mala app, ya que no, se supera… y sigue manteniendo una interface MEDIOCRE, no se compara, ni en lo (+) a Mercado-Libre.",Calificación: 2 de cinco estrellas
132,Falta seguridad en las cuentas Ami me an hackeado y an publicado en mi cuen sin que yo lo sepa. Use cambio de clave y siguieron publicando avisos con mi cuenta.. arreglen la seguridad porfavor,Calificación: 1 de cinco estrellas
133,"Público un vaporizador ( cigarrillo electrónico ) y me dicen que tengo que describirlo más , que más se puede decir si es un cigarrillo electrónico solo eso , me rechazan el aviso dos veces y después me comunico con servicio al cliente y me dicen que tengo que enviarles la boleta o factura del producto ,si el producto es usado obviamente no tengo la boleta , no es robado ! En tiempos de crisis estos tipos de yapo buscando que uno pague , solo lucro amigos de yapo en eso se convirtieron",Calificación: 1 de cinco estrellas
134,Buena aplicación y fácil uso Los filtros cuesta un poco pero nada que quite su utilidad.,Calificación: 4 de cinco estrellas
135,Excelente aplicación muy buena me.ha servido mucho para comprar y vender cosas que necesito o cosas que no ocupó de verdad buenísima aplicación,Calificación: 5 de cinco estrellas
136,"Deberían dar un estimado de resultados en la búsqueda. hay que poner con exactitud lo que uno desea buscar, porfavor arreglen eso",Calificación: 1 de cinco estrellas
137,"Muy rápido y fácil desde el celular ya que te permite compartir las imágenes directo a Yapo, bien!!",Calificación: 5 de cinco estrellas
138,"Sirve bastante, aunque hay que tener ojo con los posibles compradores.",Calificación: 5 de cinco estrellas
139,He intentado subir más de 5 veces un artículo hago todo bien hasta finalizar pero al revisar después el aviso no está por ningún lado ni siquiera en revisión antes era buena la App pero ahora ya me decepcione,Calificación: 1 de cinco estrellas
140,"Me gustaría un cambio de color de fondo el blanco aburre y cansa mucho , un color diferente le daría otro aire no se como un azul le quedaría súper bien",Calificación: 5 de cinco estrellas
141,"Buena pero , no todos los favoritos se guardan correctamente , podrian arreglar eso ,gracias.",Calificación: 5 de cinco estrellas
142,"Aún les falta cosas por mejorar, de momento mercado libre es mejor, si añaden una manera de pagar por la misma app seria genial y así se evitan más estafas, no importa si nos cobran un cargo extra ya que ustedes también deben ganar",Calificación: 3 de cinco estrellas
143,"Es genial!siempre publica casas,ofertas de empleo al dia y actualiza rapidamente.. la recomiendo!",Calificación: 5 de cinco estrellas
144,Fácil App. Pero hay cosas que le faltan. Por ej. Ver las otras cosas que venden el mismo usuario y poder ver su perfil.,Calificación: 3 de cinco estrellas
145,"Excelente experiencia, solo haria más fácil la opción de bajar o eliminar una publicación.",Calificación: 5 de cinco estrellas
146,La aplicacion no notifica los mensajes solo entrega mala publicidad,Calificación: 1 de cinco estrellas
147,"Excelente aplicación, el único detalle es que las imágenes al subirlas pierden mucho la calidad.",Calificación: 4 de cinco estrellas
148,Muy buena. Da bastantes alternativas de enlace con el comprador. Eso facilita la venta.,Calificación: 5 de cinco estrellas
149,Una app 10/10 lo que si deberían advertir o poner anuncios sobre el cuidado de los estafadores ya que me intentaron estafar varias veces y gente que no sabe podría caer en estas estafas y utds podrían cambiarlo poniendo anuncios de cuidado con los estafadores o algo por el estilo fuera de eso muy buena app,Calificación: 5 de cinco estrellas
150,"Excelente aplicación y página para compra y venta muy rápida, sencilla y amigable para usar. 100% recomendada 👌🏻",Calificación: 5 de cinco estrellas
151,"Para vender no me ha servido mucho a mi en lo particular pero para comprar si, aunque la mayoria de los telefonos que venden en esta pagina dicen que estan en buenas condiciones y cuando lo vas a ver no sirven.",Calificación: 5 de cinco estrellas
152,"Hola, la app es buena lo malo es que el publico que ve esta ventana, es muy poco serio,...",Calificación: 4 de cinco estrellas
153,Rápido y efectiva plataforma para vender y comprar artículos.,Calificación: 5 de cinco estrellas
154,Muy buena al momento de vender Pero para comprar cosas usadas estan a alto costo.,Calificación: 4 de cinco estrellas
155,Lo bueno de la aplicación es que puedes encontrar lo que sea en un segundo sólo poniendo el nombre de lo que buscas a buen precio,Calificación: 5 de cinco estrellas
156,"Mala , porque despues de 4 meses no puedes actualizar tu publicación y menos poner un nuevo aviso ... , pensé que era una plataforma para ayudar.",Calificación: 1 de cinco estrellas
157,Le doy 3 solo por el echo de que cuando intento abrir los mensajes de compra y venta hay un error que me saca de la app y no me deja verlos. Pero por lo demás super buena,Calificación: 3 de cinco estrellas
158,"Buenisima, siempre vendo con rapidez, muy confiable y segura! Sin limitaciones, canal de mensajes y buena interfaz.",Calificación: 5 de cinco estrellas
159,Años usando yapo para celular siempre me funciona y ago los tratos u acuerdos. Sigan mejorando excelente app. Grax yapo,Calificación: 5 de cinco estrellas
160,No veo que guarde mis preguntas en yapo tienen problema con la aplicacion?,Calificación: 4 de cinco estrellas
161,"Buenísima app para la compra y venta de articulos y vehículos, totalmente recomendada",Calificación: 5 de cinco estrellas
162,"Aplicación para celular qla mala... Me pide agregar categoría y ubicación, pero al abrir las opciones no me deja ni me da ninguna alternativa... Obligada a intentarlo por un computador 😑",Calificación: 1 de cinco estrellas
163,Es muy bueno y satisfactorio y sirve arto para buscar cosas que necesites siempre escuentras Argo interesante bueno y barato,Calificación: 5 de cinco estrellas
164,Deberian se un poco mas rapidos al momento de subir un aviso. Y mandar alguna notificacion a la aplicacion informando del estado del aviso.,Calificación: 1 de cinco estrellas
165,"buena aplicación se pude encontrar de todo .,.pero falta una forma de pago que sea exclusiva de yapo y que aya respaldó tanto para el VENDEDOR como comprador...",Calificación: 4 de cinco estrellas
166,"Excelente página, con llegada a muchas personas serias.",Calificación: 5 de cinco estrellas
167,Es muy rapida la venta por yapo,Calificación: 4 de cinco estrellas
168,Le falta un poco de rapidez. Pero lo demás bién,Calificación: 4 de cinco estrellas
169,"Muy buena aplicación, el sistema de comunicación por celular o email es muy práctico al momento de contactarse",Calificación: 5 de cinco estrellas
170,Muy buena la aplicación. excelente herramienta y de muy fácil uso. Genial.,Calificación: 5 de cinco estrellas
171,"Buena aplicación, útil y de mucha ayuda para vender, gracias.",Calificación: 5 de cinco estrellas
