,Unnamed: 0,reviews,stars,rating,sentiment,class,clean_reviews,clean_reviews_nb
10,10,"Tengo problemas para lograr subir imágenes al momento de querer hacer una publicación de venta. Nosé si es un problema en la app o tiene que ver con la gama de mi celular, además no me está avisando sobre los mensajes en el momento en que llegan",Calificación: 3 de cinco estrellas,3,neutral,1,"tengo problemas para lograr subir imágenes al momento de querer hacer una publicación de venta. nosé si es un problema en la app o tiene que ver con la gama de mi celular, además no me está avisando sobre los mensajes en el momento en que llegan",tengo problemas para lograr subir imagenes al momento de querer hacer una publicacion de venta  nose si es un problema en la app o tiene que ver con la gama de mi celular  ademas no me esta avisando sobre los mensajes en el momento en que llegan
11,11,"La aplicación falla cuando llevas un buen rato en ella navegando, además los atajos para las secciones del menu son azarosas y no existe algún historial de las búsquedas. Tiene mucho que mejorar.",Calificación: 2 de cinco estrellas,2,negative,0,"la aplicación falla cuando llevas un buen rato en ella navegando, además los atajos para las secciónes del menu son azarosas y no existe algún historial de las búsquedas. tiene mucho que mejorar.",la aplicacion falla cuando llevas un buen rato en ella navegando  ademas los atajos para las secciones del menu son azarosas y no existe algun historial de las busquedas  tiene mucho que mejorar 
12,12,Buena pagina para vender lamentablemente los vendedores no respoden casi nunca y más encima si ya vendieron el artículo no sacan el aviso si no hasta que uno pregunta.,Calificación: 5 de cinco estrellas,5,positive,2,buena pagina para vender lamentablemente los vendedores no respoden casi nunca y más encima si ya vendieron el artículo no sacan el aviso si no hasta que uno pregunta.,buena pagina para vender lamentablemente los vendedores no respoden casi nunca y mas encima si ya vendieron el articulo no sacan el aviso si no hasta que uno pregunta 
13,13,"Pésima aplicación, no se puede hacer compras,no responden los correos de servicio al cliente, horrible, primera vez que la utilizaba, obviamente me quedo con otras mucho más fáciles en pocos pasos realizas tu compra😡",Calificación: 1 de cinco estrellas,1,negative,0,"pésima aplicación, no se puede hacer compras,no responden los correos de servicio al cliente, horrible, primera vez que la utilizaba, obviamente me quedo con otras mucho más fáciles en pocos pasos realizas tu compra😡",pesima aplicacion  no se puede hacer compras no responden los correos de servicio al cliente  horrible  primera vez que la utilizaba  obviamente me quedo con otras mucho mas faciles en pocos pasos realizas tu compra😡
14,14,"Cuando publique un anuncio de venta de un videojuego, un rato después no me aparecia nada, intente publicarlo de nuevo pero me aparecia que estaba bloqueado.",Calificación: 1 de cinco estrellas,1,negative,0,"cuando publique un anuncio de venta de un videojuego, un rato después no me aparecia nada, intente publicarlo de nuevo pero me aparecia que estaba bloqueado.",cuando publique un anuncio de venta de un videojuego  un rato despues no me aparecia nada  intente publicarlo de nuevo pero me aparecia que estaba bloqueado 
15,15,"Una gran opción para vender, arrendar o encontrar, popular y con mucho alcance. Felicitaciones.",Calificación: 4 de cinco estrellas,4,positive,2,"una gran opción para vender, arrendar o encontrar, popular y con mucho alcance. felicitaciónes.",una gran opcion para vender  arrendar o encontrar  popular y con mucho alcance  felicitaciones 
16,16,muy molesto el sistema de busqueda ya que a mi pareser no sirve de mucho ..la mayoria de los resultados en una busqueda no tienen nada que ver con lo que uno necesita ..1estrella es mucho,Calificación: 1 de cinco estrellas,1,negative,0,muy molesto el sistema de busqueda ya que a mi pareser no sirve de mucho ..la mayoria de los resultados en una busqueda no tienen nada que ver con lo que uno necesita ..1estrella es mucho,muy molesto el sistema de busqueda ya que a mi pareser no sirve de mucho   la mayoria de los resultados en una busqueda no tienen nada que ver con lo que uno necesita   1estrella es mucho
17,17,"Mala, rústica, pobretona, basica y pco segura y para peor no se puede subir fotos ni editar que es lo minimo Tenía para mi todas las estrellas pero cuando cambian la app para mal es necesario comentarlo",Calificación: 1 de cinco estrellas,1,negative,0,"mala, rústica, pobretona, basica y pco segura y para peor no se puede subir fotos ni editar que es lo minimo tenía para mi todas las estrellas pero cuando cambian la app para mal es necesario comentarlo",mala  rustica  pobretona  basica y pco segura y para peor no se puede subir fotos ni editar que es lo minimo tenia para mi todas las estrellas pero cuando cambian la app para mal es necesario comentarlo
18,18,"Es una Muy Buena aplicación, me encantaría ver un sistema de reputación implementado como el de ""ML"" es mucho más fácil navegar en la app que en la web",Calificación: 5 de cinco estrellas,5,positive,2,"es una muy buena aplicación, me encantaría ver un sistema de reputación implementado como el de ""ml"" es mucho más fácil navegar en la app que en la web","es una muy buena aplicacion  me encantaria ver un sistema de reputacion implementado como el de ""ml"" es mucho mas facil navegar en la app que en la web"
19,19,"Buena app si se desea vender algun producto. Eso si hay que tener cuidado con los que se quieren pasar de listos, estafadores, me he topado con varios. Ojo con dar datos de mas.",Calificación: 4 de cinco estrellas,4,positive,2,"buena app si se desea vender algun producto. eso si hay que tener cuidado con los que se quieren pasar de listos, estafadores, me he topado con varios. ojo con dar datos de mas.",buena app si se desea vender algun producto  eso si hay que tener cuidado con los que se quieren pasar de listos  estafadores  me he topado con varios  ojo con dar datos de mas 
20,20,Trato de editar mi perfil cambiándole el numero pork ese ya no lo tengo lo arreglo y al momento de publicar queda con el numero anterior al igual k al editar un anuncio puse una foto de un poleron k no debía de estar y trato de borrarlo y no puedo... Nesecito ayuda,Calificación: 3 de cinco estrellas,3,neutral,1,trato de editar mi perfil cambiándole el numero pork ese ya no lo tengo lo arreglo y al momento de publicar queda con el numero anterior al igual k al editar un anuncio puse una foto de un poleron k no debía de estar y trato de borrarlo y no puedo... nesecito ayuda,trato de editar mi perfil cambiandole el numero pork ese ya no lo tengo lo arreglo y al momento de publicar queda con el numero anterior al igual k al editar un anuncio puse una foto de un poleron k no debia de estar y trato de borrarlo y no puedo    nesecito ayuda
21,21,"Me encanta Yapo y lo ocupo a diario, pero a nivel de Aplicación le falta harto para lograr ser más amigable.",Calificación: 3 de cinco estrellas,3,neutral,1,"me encanta yapo y lo ocupo a diario, pero a nivel de aplicación le falta harto para lograr ser más amigable.",me encanta yapo y lo ocupo a diario  pero a nivel de aplicacion le falta harto para lograr ser mas amigable 
22,22,"Se. Demora en cargar las imágenes que uno sube, incluso se queda pegado y no deja subir facilmente",Calificación: 3 de cinco estrellas,3,neutral,1,"se. demora en cargar las imágenes que uno sube, incluso se queda pegado y no deja subir facilmente",se  demora en cargar las imagenes que uno sube  incluso se queda pegado y no deja subir facilmente
23,23,Excelente portal informativo y de ofertas...,Calificación: 5 de cinco estrellas,5,positive,2,excelente portal informativo y de ofertas...,excelente portal informativo y de ofertas   
24,24,"Pésimo! 1 estrella y mi motivo es porque yo tenia la app pero no la había actualizado, me contactaba para encontrar trabajo a muchos avisos y enviaba msj ya q teléfono no me aparecia y que sorpresa! Mis msj no llegaban a ninguna postulacion perdí semanas intentando contactar pero como no la había actualizado ellos no envían mis msj... Minimo avisar... Minimo!!",Calificación: 1 de cinco estrellas,1,negative,0,"pésimo! 1 estrella y mi motivo es porque yo tenia la app pero no la había actualizado, me contactaba para encontrar trabajo a muchos avisos y enviaba msj ya q teléfono no me aparecia y que sorpresa! mis msj no llegaban a ninguna postulación perdí semanas intentando contactar pero como no la había actualizado ellos no envían mis msj... minimo avisar... minimo!!",pesimo! 1 estrella y mi motivo es porque yo tenia la app pero no la habia actualizado  me contactaba para encontrar trabajo a muchos avisos y enviaba msj ya q telefono no me aparecia y que sorpresa! mis msj no llegaban a ninguna postulacion perdi semanas intentando contactar pero como no la habia actualizado ellos no envian mis msj    minimo avisar    minimo!!
25,25,"Excelente app,lo que si deberían mejorar la calidad de las fotografías de los productos ya que se pierde mucha definición al subir fotos",Calificación: 3 de cinco estrellas,3,neutral,1,"excelente app,lo que si deberían mejorar la calidad de las fotografías de los productos ya que se pierde mucha definición al subir fotos",excelente app lo que si deberian mejorar la calidad de las fotografias de los productos ya que se pierde mucha definicion al subir fotos
26,26,"Funciona bien ,pero su opción de chat funciona de forma errática",Calificación: 4 de cinco estrellas,4,positive,2,"funcióna bien ,pero su opción de chat funcióna de forma errática",funciona bien  pero su opcion de chat funciona de forma erratica
27,27,Si la pagina me aservido bastante siempre la miro por travajo o otra cosa es bastante util . excelente.,Calificación: 5 de cinco estrellas,5,positive,2,si la pagina me aservido bastante siempre la miro por travajo o otra cosa es bastante util . excelente.,si la pagina me aservido bastante siempre la miro por travajo o otra cosa es bastante util   excelente 
28,28,"Sencilla y efectiva. Yapo hace fácil la venta, sin complicaciones, funciona.",Calificación: 5 de cinco estrellas,5,positive,2,"sencilla y efectiva. yapo hace fácil la venta, sin complicaciónes, funcióna.",sencilla y efectiva  yapo hace facil la venta  sin complicaciones  funciona 
29,29,"Aplicación muy limitada, y modelo de negocios para publicar obsoleto",Calificación: 1 de cinco estrellas,1,negative,0,"aplicación muy limitada, y modelo de negocios para publicar obsoleto",aplicacion muy limitada  y modelo de negocios para publicar obsoleto
30,30,Muy buena experiencia de compra.venta,Calificación: 5 de cinco estrellas,5,positive,2,muy buena experiencia de compra.venta,muy buena experiencia de compra venta
31,31,Buena aplicación para comprar cosas de segunda mano es ideal y súper fácil de usar,Calificación: 5 de cinco estrellas,5,positive,2,buena aplicación para comprar cosas de segunda mano es ideal y súper fácil de usar,buena aplicacion para comprar cosas de segunda mano es ideal y super facil de usar
32,32,Es muy buena pero no me gusta solamente x que no tengo face x eso no se puede publicar mis cosas pero deveria servir para las personas sin cuenta de face o con solo correo,Calificación: 3 de cinco estrellas,3,neutral,1,es muy buena pero no me gusta solamente x que no tengo face x eso no se puede publicar mis cosas pero deveria servir para las personas sin cuenta de face o con solo correo,es muy buena pero no me gusta solamente x que no tengo face x eso no se puede publicar mis cosas pero deveria servir para las personas sin cuenta de face o con solo correo
33,33,Muy buena. Muy amigable por el celu. Pero no asi desde el compu.,Calificación: 5 de cinco estrellas,5,positive,2,muy buena. muy amigable por el celu. pero no asi desde el compu.,muy buena  muy amigable por el celu  pero no asi desde el compu 
34,34,Buena App. Pero se presta para Muchas estafas . Lo digo por experiencia propia ... saludos,Calificación: 3 de cinco estrellas,3,neutral,1,buena app. pero se presta para muchas estafas . lo digo por experiencia propia ... saludos,buena app  pero se presta para muchas estafas   lo digo por experiencia propia     saludos
35,35,Solo falta poder sacar el teléfono del aviso después de creado el aviso.,Calificación: 4 de cinco estrellas,4,positive,2,solo falta poder sacar el teléfono del aviso después de creado el aviso.,solo falta poder sacar el telefono del aviso despues de creado el aviso 
36,36,"Buena app pero deverian agregar una categoría de pesca, caza y outdoors.",Calificación: 4 de cinco estrellas,4,positive,2,"buena app pero deverian agregar una categoría de pesca, caza y outdoors.",buena app pero deverian agregar una categoria de pesca  caza y outdoors 
37,37,La actualización Tiene un error en la configuración de la región en la cual quiero buscar el producto.,Calificación: 1 de cinco estrellas,1,negative,0,la actualización tiene un error en la configuración de la región en la cual quiero buscar el producto.,la actualizacion tiene un error en la configuracion de la region en la cual quiero buscar el producto 
38,38,Muy buena aplicación rápida y sencilla daria mucho más.pero Las 5estrellas Las tienes,Calificación: 5 de cinco estrellas,5,positive,2,muy buena aplicación rápida y sencilla daria mucho más.pero las 5estrellas las tienes,muy buena aplicacion rapida y sencilla daria mucho mas pero las 5estrellas las tienes
39,39,"Si es bastante buena, ya q e publicado artos avisos y se vende luego lo q publico... Muchas gracias excelente esperiencia🤣🤣",Calificación: 4 de cinco estrellas,4,positive,2,"si es bastante buena, ya q e publicado artos avisos y se vende luego lo q publico... muchas gracias excelente esperiencia🤣🤣",si es bastante buena  ya q e publicado artos avisos y se vende luego lo q publico    muchas gracias excelente esperiencia🤣🤣
40,40,"Busco algo para comprar y se repite el buscador de ventas. Me explico, busco y sale que yo vendo, y solo quiero buscar para comprar malisima aplicación. 🥧😠",Calificación: 1 de cinco estrellas,1,negative,0,"busco algo para comprar y se repite el buscador de ventas. me explico, busco y sale que yo vendo, y solo quiero buscar para comprar malisima aplicación. 🥧😠",busco algo para comprar y se repite el buscador de ventas  me explico  busco y sale que yo vendo  y solo quiero buscar para comprar malisima aplicacion  🥧😠
41,41,"Muy buena, si bien no he vendido todo lo que he publicado, pero lo que he logrado vender a sido rápido gracias a la publicación realizada en yapo",Calificación: 5 de cinco estrellas,5,positive,2,"muy buena, si bien no he vendido todo lo que he publicado, pero lo que he logrado vender a sido rápido gracias a la publicación realizada en yapo",muy buena  si bien no he vendido todo lo que he publicado  pero lo que he logrado vender a sido rapido gracias a la publicacion realizada en yapo
42,42,Buenas ventas ...y variedad de articulos.,Calificación: 5 de cinco estrellas,5,positive,2,buenas ventas ...y variedad de articulos.,buenas ventas    y variedad de articulos 
43,43,"Soy Roberto de Temuco y sólo les pediría que actualicen a diario o cada 5 días siquiera, pirque hay aviso que ya no deberían estar ahí, gracias 👍",Calificación: 4 de cinco estrellas,4,positive,2,"soy roberto de temuco y sólo les pediría que actualicen a diario o cada 5 días siquiera, pirque hay aviso que ya no deberían estar ahí, gracias 👍",soy roberto de temuco y solo les pediria que actualicen a diario o cada 5 dias siquiera  pirque hay aviso que ya no deberian estar ahi  gracias 👍
44,44,"Horrible!.. rechazan las publicaciones sin justificación, cuando consultas no responden, te cobran altísimo por poner en venta una propiedad y exigen papeles que en otras plataformas no.",Calificación: 1 de cinco estrellas,1,negative,0,"horrible!.. rechazan las publicaciónes sin justificación, cuando consultas no responden, te cobran altísimo por poner en venta una propiedad y exigen papeles que en otras plataformas no.",horrible!   rechazan las publicaciones sin justificacion  cuando consultas no responden  te cobran altisimo por poner en venta una propiedad y exigen papeles que en otras plataformas no 
45,45,"Ingresé por error con una cuenta de facebook , necesito cambiarla pero no encuentro ningún botón Cerrar Sesión...... Cueck",Calificación: 2 de cinco estrellas,2,negative,0,"ingresé por error con una cuenta de facebook , necesito cambiarla pero no encuentro ningún botón cerrar sesión...... cueck",ingrese por error con una cuenta de facebook   necesito cambiarla pero no encuentro ningun boton cerrar sesion       cueck
46,46,Escelente aplicación me a ido bien con cualquier venta que hago!! Gracias yapooo,Calificación: 5 de cinco estrellas,5,positive,2,escelente aplicación me a ido bien con cualquier venta que hago!! gracias yapo,escelente aplicacion me a ido bien con cualquier venta que hago!! gracias yapo
47,47,Funciona perfectamente faltan algunas mejoras pero bueno esta bien,Calificación: 3 de cinco estrellas,3,neutral,1,funcióna perfectamente faltan algunas mejoras pero bueno esta bien,funciona perfectamente faltan algunas mejoras pero bueno esta bien
48,48,Muy facil y sencilla. Excelente yapo. Y gracias por su buen servicio,Calificación: 5 de cinco estrellas,5,positive,2,muy facil y sencilla. excelente yapo. y gracias por su buen servicio,muy facil y sencilla  excelente yapo  y gracias por su buen servicio
49,49,"Muy malo el buscador, prácticamente tienes que ser mago para dar con lo que buscas si no escribes en la búsqueda prácticamente lo mismo y le apuntas al título del vendedor o a lo que sea que busques, el logaritmo de busqueda de Google es súper básico, apliquen lo...",Calificación: 2 de cinco estrellas,2,negative,0,"muy malo el buscador, prácticamente tienes que ser mago para dar con lo que buscas si no escribes en la búsqueda prácticamente lo mismo y le apuntas al título del vendedor o a lo que sea que busques, el logaritmo de busqueda de google es súper básico, apliquen lo...",muy malo el buscador  practicamente tienes que ser mago para dar con lo que buscas si no escribes en la busqueda practicamente lo mismo y le apuntas al titulo del vendedor o a lo que sea que busques  el logaritmo de busqueda de google es super basico  apliquen lo   
50,50,Solo se ve los anuncios sin imagenes,Calificación: 1 de cinco estrellas,1,negative,0,solo se ve los anuncios sin imagenes,solo se ve los anuncios sin imagenes
51,51,Te baja los anuncios constantemente,Calificación: 1 de cinco estrellas,1,negative,0,te baja los anuncios constantemente,te baja los anuncios constantemente
52,52,Pesima actuliazacion. Ojala lo solucionen luego los errores con los que quedo,Calificación: 1 de cinco estrellas,1,negative,0,pesima actuliazación. ojala lo soluciónen luego los errores con los que quedo,pesima actuliazacion  ojala lo solucionen luego los errores con los que quedo
53,53,"Es buena aplicación, pero en las ventas de autos se debería poder reportar a los que venden en remates ya que publican muchas veces el mismo vehículo quitándole la posibilidad de vender a una persona natural, un botón de reportar también ayudaria a corregir a ventas fraudulentas.",Calificación: 2 de cinco estrellas,2,negative,0,"es buena aplicación, pero en las ventas de autos se debería poder reportar a los que venden en remates ya que publican muchas veces el mismo vehículo quitándole la posibilidad de vender a una persona natural, un botón de reportar también ayudaria a corregir a ventas fraudulentas.",es buena aplicacion  pero en las ventas de autos se deberia poder reportar a los que venden en remates ya que publican muchas veces el mismo vehiculo quitandole la posibilidad de vender a una persona natural  un boton de reportar tambien ayudaria a corregir a ventas fraudulentas 
54,54,Fácil y rápido. Un éxito la venta,Calificación: 5 de cinco estrellas,5,positive,2,fácil y rápido. un éxito la venta,facil y rapido  un exito la venta
55,55,Excelente para ventas y compras por la apps,Calificación: 5 de cinco estrellas,5,positive,2,excelente para ventas y compras por la apps,excelente para ventas y compras por la apps
56,56,En categorías debieran poner PERMUTAR creo qué sería una muy buena idea .... aveces en las casas se juntan cosas que al final uno no ocupa y están en perfecto estado y necesitas otras . Sobre todo en los momentos qué vivimos . Ojalá lo hagan,Calificación: 5 de cinco estrellas,5,positive,2,en categorías debieran poner permutar creo qué sería una muy buena idea .... aveces en las casas se juntan cosas que al final uno no ocupa y están en perfecto estado y necesitas otras . sobre todo en los momentos qué vivimos . ojalá lo hagan,en categorias debieran poner permutar creo que seria una muy buena idea      aveces en las casas se juntan cosas que al final uno no ocupa y estan en perfecto estado y necesitas otras   sobre todo en los momentos que vivimos   ojala lo hagan
57,57,"Hola Buenas Tardes Su aplicación era bastante buena, pero desde finales del año pasado al buscar ""x cosa"" te muestra resultados que no corresponden a lo buscado. Es por esto les sugiero revisar dicha situación para que no pierdan el lugar ganado dentro del mercado. Pamela",Calificación: 2 de cinco estrellas,2,negative,0,"hola buenas tardes su aplicación era bastante buena, pero desde finales del año pasado al buscar ""x cosa"" te muestra resultados que no corresponden a lo buscado. es por esto les sugiero revisar dicha situación para que no pierdan el lugar ganado dentro del mercado. pamela","hola buenas tardes su aplicacion era bastante buena  pero desde finales del año pasado al buscar ""x cosa"" te muestra resultados que no corresponden a lo buscado  es por esto les sugiero revisar dicha situacion para que no pierdan el lugar ganado dentro del mercado  pamela"
58,58,"La aplicación en general buena, según el dispositivo es más estable o no. Pero lamentablemente mucho estafador, perdí un iPhone siendo víctima de estafa y robo. La empresa no responde ante estas situaciones y tampoco dan seguridad de que sus usuarios sean quienes dicen ser. Falta mucha seguridad para los usuarios. Que somos nosotros los que nos volvemos afectados mientras la empresa se beneficia por un servicio incompleto y para nada seguro.",Calificación: 5 de cinco estrellas,5,positive,2,"la aplicación en general buena, según el dispositivo es más estable o no. pero lamentablemente mucho estafador, perdí un iphone siendo víctima de estafa y robo. la empresa no responde ante estas situaciónes y tampoco dan seguridad de que sus usuarios sean quienes dicen ser. falta mucha seguridad para los usuarios. que somos nosotros los que nos volvemos afectados mientras la empresa se beneficia por un servicio incompleto y para nada seguro.",la aplicacion en general buena  segun el dispositivo es mas estable o no  pero lamentablemente mucho estafador  perdi un iphone siendo victima de estafa y robo  la empresa no responde ante estas situaciones y tampoco dan seguridad de que sus usuarios sean quienes dicen ser  falta mucha seguridad para los usuarios  que somos nosotros los que nos volvemos afectados mientras la empresa se beneficia por un servicio incompleto y para nada seguro 
59,59,"Vendo muy rápido mis cosas, excelente aplicación",Calificación: 5 de cinco estrellas,5,positive,2,"vendo muy rápido mis cosas, excelente aplicación",vendo muy rapido mis cosas  excelente aplicacion
60,60,Buena muestra los artículos que uno busca,Calificación: 5 de cinco estrellas,5,positive,2,buena muestra los artículos que uno busca,buena muestra los articulos que uno busca
61,61,"La app trae mucha variedad en cuanto a productos de todo tipo pero deberían de mejorar el buscador ya que casi siempre dice que no hay lo que busco cuando si están, la verdad es pésimo el buscador.",Calificación: 2 de cinco estrellas,2,negative,0,"la app trae mucha variedad en cuanto a productos de todo tipo pero deberían de mejorar el buscador ya que casi siempre dice que no hay lo que busco cuando si están, la verdad es pésimo el buscador.",la app trae mucha variedad en cuanto a productos de todo tipo pero deberian de mejorar el buscador ya que casi siempre dice que no hay lo que busco cuando si estan  la verdad es pesimo el buscador 
